,gold,debt,stock_t,ceiling,ratio
1992-08-01,343,4064621000000.0,125679.42356379944,1005.9231755367954,0.34098031374708443
1992-09-01,345,4064621000000.0,125859.3643717694,1004.4850097724496,0.34345958042535085
1992-10-01,344,4177009000000.0,126033.74593112309,1030.8310797103416,0.3337113197020236
1992-11-01,335,4177009000000.0,126214.19403815005,1029.3573031797712,0.3254457892950843
1992-12-01,335,4177009000000.0,126389.0672236202,1027.9330740549885,0.32589670325373676
1993-01-01,329,4230580000000.0,126570.02405990966,1039.6280456568584,0.31645933502316304
1993-02-01,329,4230580000000.0,126751.23998013191,1038.1416921268092,0.316912423896576
1993-03-01,330,4230580000000.0,126915.14187252049,1036.8010058588304,0.3182867282489234
1993-04-01,342,4351950000000.0,127096.85191323029,1065.0206806073322,0.3211205249131624
1993-05-01,367,4351950000000.0,127272.94804510099,1063.5471072746016,0.3450716921608276
1993-06-01,372,4351950000000.0,127455.1703727864,1062.0265567239742,0.35027372681480373
1993-07-01,392,4411489000000.0,127631.76296459103,1075.066601321906,0.36462857233030516
1993-08-01,379,4411489000000.0,127814.49902351972,1073.5295813804105,0.3530410401105654
1993-09-01,355,4411489000000.0,127997.49671377323,1071.9947589123528,0.3311583354756169
1993-10-01,364,4535687000000.0,128174.84071341704,1100.6499750940243,0.330713676679005
1993-11-01,374,4535687000000.0,128358.35432085878,1099.0763786691646,0.34028572286565223
